Controls,image,url,icon,stix_type,protocol,group,typeql,class,form,form_group,form_family,condition1,field1,value1,condition2,field2,value2,head,prior_string0,post_field0,prior_string1,post_field1,prior_string2,post_field2,prior_string3,post_field3,prior_string4,post_field4,prior_string5,post_field5,prior_string6,post_field6
,#VALUE!,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-marking.svg,marking,marking-definition,stix21,meta,marking-definition,MarkingDefinition,marking-definition,meta-forms,stix-forms,,,,,,,Marking,Name -> ,name,Type -> ,definition_type,Definition -> ,definition,,,,,,,,
Image Shape,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-anecdote.svg,anecdote,anecdote,os-threat,sco,anecdote,Anecdote,anecdote,sco-forms,stix-forms,,,,,,,Anecdote,Report Date -> ,report_date,Statement -> ,value,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-artifact.svg,artifact,artifact,stix21,sco,artifact,Artifact,artifact,sco-forms,os-threat-forms,,,,,,,Artifact,MIME Type ->,mime_type,Encryption Algorithm -> ,encryption_algorithm,URL -> ,url,Hashes -> ,hashes,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-autonomous-system.svg,autonomous-system,autonomous-system,stix21,sco,autonomous-system,AutonomousSystem,autonomous-system,sco-forms,stix-forms,,,,,,,Autonomous-System,Number -> ,number,Name -> ,name,RIR Name -> ,rir,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-directory.svg,directory,directory,stix21,sco,directory,Directory,directory,sco-forms,stix-forms,,,,,,,Directory,Path -> ,path,Contains -> ,contains_refs ,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-domain.svg,domain,domain-name,stix21,sco,domain-name,DomainName,domain-name,sco-forms,stix-forms,,,,,,,Domain Name,Value -> ,value,Resolves t0 -> ,resolves_to_refs ,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-email-addr.svg,email-addr,email-addr,stix21,sco,email-addr,EmailAddress,email-addr,sco-forms,stix-forms,,,,,,,Email-Addr,Value -> ,value,Display Name -> ,display_name,Belongs to -> ,belongs_to_ref,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-email-message-mime.svg,email-message-mime,email-message,stix21,sco,email-message,EmailMessage,email-message,sco-forms,stix-forms,EQUALS,is_multipart,TRUE,,,,Email-Message-Mime,From -> ,from_ref,Subject,subject,Body -> ,body,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-email-message.svg,email-message,email-message,stix21,sco,email-message,EmailMessage,email-message,sco-forms,stix-forms,,,,,,,Email-Message,From -> ,from_ref,Subject,subject,Body -> ,body,,,,,,,,
1,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-file.svg,file,file,stix21,sco,file,File,file,sco-forms,stix-forms,,,,,,,File,Name -> ,name,Parent Directory ->,parent_directory_ref ,,,,,,,,,,
